name,right_ascension,declination,apparent_magnitude,distance (ly),link,parent_constellation
Alpheratz,00h 08m 23.17s,+29° 05′ 27.0″,2.07,97,/wiki/Alpheratz,Andromeda
Mirach,01h 09m 43.80s,+35° 37′ 15.0″,2.07,199,/wiki/Mirach,Andromeda
Gamma Andromedae,02h 03m 53.92s,+42° 19′ 47.5″,2.10,355,/wiki/Gamma_Andromedae,Andromeda
Delta Andromedae,00h 39m 19.60s,+30° 51′ 40.4″,3.27,101,/wiki/Delta_Andromedae,Andromeda
Andromeda Galaxy,00h 42m 44.31s,+41° 16′ 09.4″,3.44[3] (nebulous),2540000,/wiki/Andromeda_Galaxy,Andromeda
51 Andromedae,01h 37m 59.50s,+48° 37′ 42.6″,3.59,174,/wiki/51_Andromedae,Andromeda
Omicron Andromedae,23h 01m 55.25s,+42° 19′ 33.5″,3.62,692,/wiki/Omicron_Andromedae,Andromeda
Lambda Andromedae,23h 37m 33.71s,+46° 27′ 33.0″,3.81,84,/wiki/Lambda_Andromedae,Andromeda
Mu Andromedae,00h 56m 45.10s,+38° 29′ 57.3″,3.86,136,/wiki/Mu_Andromedae,Andromeda
Zeta Andromedae,00h 47m 20.39s,+24° 16′ 02.6″,4.08,181,/wiki/Zeta_Andromedae,Andromeda
Upsilon Andromedae,01h 36m 47.98s,+41° 24′ 23.0″,4.10,44,/wiki/Upsilon_Andromedae,Andromeda
Kappa Andromedae,23h 40m 24.44s,+44° 20′ 02.3″,4.15,170,/wiki/Kappa_Andromedae,Andromeda
Phi Andromedae,01h 09m 30.12s,+47° 14′ 30.6″,4.26,736,/wiki/Phi_Andromedae,Andromeda
Iota Andromedae,23h 38m 08.18s,+43° 16′ 05.1″,4.29,502,/wiki/Iota_Andromedae,Andromeda
Pi Andromedae,00h 36m 52.84s,+33° 43′ 09.7″,4.34,656,/wiki/Pi_Andromedae,Andromeda
Epsilon Andromedae,00h 38m 33.50s,+29° 18′ 44.5″,4.34,169,/wiki/Epsilon_Andromedae,Andromeda
Eta Andromedae,00h 57m 12.43s,+23° 25′ 03.9″,4.40,243,/wiki/Eta_Andromedae,Andromeda
Sigma Andromedae,00h 18m 19.71s,+36° 47′ 07.2″,4.51,141,/wiki/Sigma_Andromedae,Andromeda
Nu Andromedae,00h 49m 48.83s,+41° 04′ 44.2″,4.53,679,/wiki/Nu_Andromedae,Andromeda
7 Andromedae,23h 12m 32.92s,+49° 24′ 21.5″,4.53,80,/wiki/7_Andromedae,Andromeda
Theta Andromedae,00h 17m 05.54s,+38° 40′ 54.0″,4.61,253,/wiki/Theta_Andromedae,Andromeda
3 Andromedae,23h 04m 10.83s,+50° 03′ 06.1″,4.64,179,/wiki/3_Andromedae,Andromeda
65 Andromedae,02h 25m 37.40s,+50° 16′ 43.2″,4.73,345,/wiki/65_Andromedae,Andromeda
58 Andromedae,02h 08m 29.15s,+37° 51′ 33.1″,4.78,198,/wiki/58_Andromedae,Andromeda
8 Andromedae,23h 17m 44.62s,+49° 00′ 55.0″,4.82,655,/wiki/8_Andromedae,Andromeda
Omega Andromedae,01h 27m 39.09s,+45° 24′ 25.0″,4.83,92,/wiki/Omega_Andromedae,Andromeda
Gamma Andromedae,02h 03m 54.70s,+42° 19′ 51.0″,4.84,350,/wiki/Gamma_Andromedae,Andromeda
60 Andromedae,02h 13m 13.34s,+44° 13′ 54.1″,4.84,556,/wiki/60_Andromedae,Andromeda
Xi Andromedae,01h 22m 20.39s,+45° 31′ 43.5″,4.87,195,/wiki/Xi_Andromedae,Andromeda
Tau Andromedae,01h 40m 34.80s,+40° 34′ 37.6″,4.96,681,/wiki/Tau_Andromedae,Andromeda
HD 10307,01h 41m 46.52s,+42° 36′ 49.7″,4.96,41,/wiki/HD_10307,Andromeda
Psi Andromedae,23h 46m 02.04s,+46° 25′ 13.0″,4.97,1309,/wiki/Psi_Andromedae,Andromeda
22 Andromedae,00h 10m 19.24s,+46° 04′ 20.2″,5.01,1006,/wiki/22_Andromedae,Andromeda
Chi Andromedae,01h 39m 21.02s,+44° 23′ 10.1″,5.01,242,/wiki/Chi_Andromedae,Andromeda
41 Andromedae,01h 08m 00.72s,+43° 56′ 32.1″,5.04,196,/wiki/41_Andromedae,Andromeda
2 Andromedae,23h 02m 36.34s,+42° 45′ 28.1″,5.09,349,/wiki/2_Andromedae,Andromeda
V428 Andromedae,00h 36m 46.47s,+44° 29′ 18.6″,5.14,656,/wiki/V428_Andromedae,Andromeda
Rho Andromedae,00h 21m 07.23s,+37° 58′ 07.3″,5.16,160,/wiki/Rho_Andromedae,Andromeda
HD 2421,00h 28m 13.59s,+44° 23′ 40.2″,5.18,265,/wiki/HD_2421,Andromeda
64 Andromedae,02h 24m 24.89s,+50° 00′ 23.9″,5.19,375,/wiki/64_Andromedae,Andromeda
28 Andromedae,00h 30m 07.34s,+29° 45′ 06.1″,5.20,185,/wiki/28_Andromedae,Andromeda
14 Andromedae,23h 31m 17.20s,+39° 14′ 11.0″,5.22,249,/wiki/14_Andromedae,Andromeda
49 Andromedae,01h 30m 06.10s,+47° 00′ 26.6″,5.27,290,/wiki/49_Andromedae,Andromeda
32 Andromedae,00h 41m 07.20s,+39° 27′ 31.2″,5.30,344,/wiki/32_Andromedae,Andromeda
4 Andromedae,23h 07m 39.28s,+46° 23′ 14.3″,5.30,342,/wiki/4_Andromedae,Andromeda
6 Persei,02h 13m 36.02s,+51° 03′ 58.4″,5.31,199,/wiki/6_Persei,Andromeda
62 Andromedae,02h 19m 16.85s,+47° 22′ 48.0″,5.31,255,/wiki/62_Andromedae,Andromeda
18 Andromedae,23h 39m 08.35s,+50° 28′ 18.3″,5.35,390,/wiki/18_Andromedae,Andromeda
55 Andromedae,01h 53m 17.35s,+40° 43′ 47.3″,5.42,540,/wiki/55_Andromedae,Andromeda
11 Andromedae,23h 19m 29.79s,+48° 37′ 30.7″,5.44,328,/wiki/11_Andromedae,Andromeda
Unnamed Star,00h 37m 21.23s,+35° 23′ 58.2″,5.45,1022,,Andromeda
36 Andromedae,00h 54m 58.02s,+23° 37′ 42.4″,5.46,127,/wiki/36_Andromedae,Andromeda
15 Andromedae,23h 34m 37.55s,+40° 14′ 11.6″,5.55,233,/wiki/15_Andromedae,Andromeda
63 Andromedae,02h 20m 58.17s,+50° 09′ 05.5″,5.57,356,/wiki/63_Andromedae,Andromeda
47 Andromedae,01h 23m 40.56s,+37° 42′ 54.0″,5.60,211,/wiki/47_Andromedae,Andromeda
Unnamed Star,01h 40m 39.56s,+43° 17′ 51.9″,5.63,268,,Andromeda
44 Andromedae,01h 10m 18.85s,+42° 04′ 53.7″,5.67,172,/wiki/44_Andromedae,Andromeda
5 Andromedae,23h 07m 45.25s,+49° 17′ 43.6″,5.68,111,/wiki/5_Andromedae,Andromeda
HD 5788,01h 00m 03.55s,+44° 42′ 47.9″,5.69,420,/wiki/HD_5788,Andromeda
56 Andromedae,01h 56m 09.23s,+37° 15′ 06.5″,5.69,320,/wiki/56_Andromedae,Andromeda
23 Andromedae,00h 13m 30.94s,+41° 02′ 08.6″,5.71,114,/wiki/23_Andromedae,Andromeda
HD 16028,02h 35m 38.74s,+37° 18′ 44.2″,5.72,676,/wiki/HD_16028,Andromeda
13 Andromedae,23h 27m 07.33s,+42° 54′ 43.1″,5.75,294,/wiki/13_Andromedae,Andromeda
12 Andromedae,23h 20m 53.17s,+38° 10′ 56.9″,5.77,138,/wiki/12_Andromedae,Andromeda
Unnamed Star,00h 20m 45.54s,+32° 54′ 40.4″,5.79,646,,Andromeda
45 Andromedae,01h 11m 10.29s,+37° 43′ 26.9″,5.80,916,/wiki/45_Andromedae,Andromeda
HD 14622,02h 22m 50.36s,+41° 23′ 47.5″,5.81,154,/wiki/HD_14622,Andromeda
10 Andromedae,23h 19m 52.38s,+42° 04′ 40.9″,5.81,542,/wiki/10_Andromedae,Andromeda
HD 222109,23h 37m 32.03s,+44° 25′ 44.5″,5.81,823,/wiki/HD_222109,Andromeda
HD 224635,23h 59m 29.33s,+33° 43′ 26.9″,5.81,95,/wiki/HD_224635,Andromeda
OU Andromedae,23h 49m 40.96s,+36° 25′ 31.4″,5.86,440,/wiki/OU_Andromedae,Andromeda
Unnamed Star,00h 18m 38.22s,+31° 31′ 02.0″,5.88,543,,Andromeda
HD 2767,00h 31m 25.61s,+33° 34′ 54.1″,5.88,467,/wiki/HD_2767,Andromeda
HD 1606,00h 20m 24.39s,+30° 56′ 08.2″,5.89,582,/wiki/HD_1606,Andromeda
Unnamed Star,01h 55m 54.47s,+37° 16′ 40.1″,5.89,991,,Andromeda
KK Andromedae,01h 34m 16.60s,+37° 14′ 13.9″,5.90,392,/wiki/KK_Andromedae,Andromeda
Unnamed Star,02h 36m 57.08s,+38° 44′ 02.3″,5.91,177,,Andromeda
6 Andromedae,23h 10m 27.36s,+43° 32′ 41.1″,5.91,112,/wiki/6_Andromedae,Andromeda
Unnamed Star,01h 48m 38.84s,+37° 57′ 10.6″,5.94,308,,Andromeda
39 Andromedae,01h 02m 54.28s,+41° 20′ 42.7″,5.95,344,/wiki/39_Andromedae,Andromeda
Unnamed Star,01h 26m 18.60s,+43° 27′ 28.4″,5.98,135,,Andromeda
9 Andromedae,23h 18m 23.33s,+41° 46′ 25.3″,5.98,472,/wiki/9_Andromedae,Andromeda
HD 5608,00h 58m 14.19s,+33° 57′ 03.8″,5.99,190,/wiki/HD_5608,Andromeda
Unnamed Star,23h 55m 33.48s,+47° 21′ 21.0″,6.01,1614,,Andromeda
Unnamed Star,23h 57m 03.63s,+42° 39′ 29.7″,6.01,1442,,Andromeda
Unnamed Star,00h 46m 10.80s,+44° 51′ 41.4″,6.03,452,,Andromeda
Unnamed Star,02h 14m 02.53s,+47° 29′ 03.8″,6.05,135,,Andromeda
HD 3883,00h 41m 35.98s,+24° 37′ 44.6″,6.06,462,/wiki/HD_3883,Andromeda
HD 166,00h 06m 36.53s,+29° 01′ 19.0″,6.07,45,/wiki/HD_166,Andromeda
Unnamed Star,00h 53m 28.22s,+37° 25′ 05.9″,6.07,374,,Andromeda
Unnamed Star,23h 30m 39.54s,+38° 39′ 44.0″,6.07,621,,Andromeda
HD 223229,23h 47m 33.05s,+46° 49′ 57.3″,6.08,1320,/wiki/HD_223229,Andromeda
Unnamed Star,00h 04m 53.21s,+34° 39′ 34.4″,6.09,120,,Andromeda
59 Andromedae,02h 10m 52.83s,+39° 02′ 22.5″,6.09,263,/wiki/59_Andromedae,Andromeda
26 Andromedae,00h 18m 42.15s,+43° 47′ 28.1″,6.10,692,/wiki/26_Andromedae,Andromeda
Unnamed Star,00h 57m 39.64s,+45° 50′ 21.8″,6.10,439,,Andromeda
HD 225218,00h 04m 36.60s,+42° 05′ 33.2″,6.11,1680,/wiki/HD_225218,Andromeda
Unnamed Star,01h 17m 05.05s,+44° 54′ 07.5″,6.11,590,,Andromeda
HD 1185,00h 16m 21.50s,+43° 35′ 42.4″,6.12,303,/wiki/HD_1185,Andromeda
Unnamed Star,23h 07m 10.05s,+52° 48′ 59.6″,6.12,423,,Andromeda
